name 17Y408S

# units are oz inch need N m
conv 0.0070615518 

# Which colomns have the data :
rps 1
torque 2

400	0.25	110	1.2199
800	0.5	110	2.4398
1600	1	110	4.8796
2400	1.5	107.5	7.15305
3200	2	107.5	9.5374
4000	2.5	107.5	11.92175
6000	3.75	107.5	17.882625
8000	5	100	22.18
10000	6.25	92.5	25.645625
12000	7.5	82.5	27.44775
14000	8.75	75	29.11125
16000	10	67.5	29.943
18000	11.25	57.5	28.695375
20000	12.5	54	29.943
24000	15	47.5	31.6065
28000	17.5	40	31.052
32000	20	30	26.616
36000	22.5	30	29.943
40000	25	25	27.725
48000	30	17.5	23.289
56000	35	12.5	19.4075
64000	40	10	17.744
